Phase,Question_ID,Category,Question,Genie_Capability,Level_1,Level_2,Level_3,Level_4,Level_5,Level_1_Criteria,Level_2_Criteria,Level_3_Criteria,Level_4_Criteria,Level_5_Criteria,Current_Score (1-5),Evidence,Notes,Priority (Critical/High/Medium/Low),Other_AI_Tools_Used,Example_Prompt,Evidence_Required,Evidence_Notes,Gap_Description
2. Requirements & Design,RD-5,Dimensional Modeling,"How effectively does your team use Genie Code to design dimensional models (fact/dimension tables, SCDs)?",Generate fact/dimension tables | identify SCDs | create surrogate keys | star/snowflake schemas,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness dimensional modeling; no AI design assistance","Using Genie Code for basic star schema generation May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","Complete dimensional model: facts, dimensions, relationships","Include SCD logic, bridge tables, conformed dimensions","Intelligent modeling: auto-detect grain, generate complete EDW, best practices",,,,High,,"""Design a Kimball-style data warehouse for insurance claims with claim fact and policy dimensions""","Dimensional models, ER diagrams, SCD implementation",,
2. Requirements & Design,RD-6,API Integration Design,How is Genie Code utilized to design API integrations and external data source connections?,Design REST API integrations | generate connection configs | authentication patterns,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness API integration design; hardcoded connections","Basic REST endpoint connection generation May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Comprehensive API integration patterns with error handling,"Advanced API patterns: retry logic, circuit breakers, rate limiting",Self-configuring API integrations with adaptive patterns,,,,High,,"""Create API integration for third-party claims adjuster system with OAuth authentication""","API integration code, authentication configs, error handling",,
2. Requirements & Design,RD-7,Multi-Source Architecture,How effectively does Genie Code help design multi-source data architectures and integration patterns?,Multi-source integration patterns | data fabric design | federation strategies,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,Single-source architectures; basic point-to-point integrations,"Using Genie Code for simple dual-source integration patterns May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Multi-source integration strategies with data quality checks,"Enterprise integration patterns: event-driven, CQRS, saga patterns",Autonomous integration architecture with self-optimization,,,,High,,"""Design a multi-source architecture for 360-degree view of policy holder claims history""","Integration architecture diagrams, data flow documentation",,
3. Development,DEV-1,Data Ingestion,"How is Genie Code currently being used to generate data ingestion code (Auto Loader, streaming, CDC)?",Generate Auto Loader configs | streaming pipelines | CDC patterns | error handling | checkpointing,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness pipeline coding; basic batch loads","Using Genie Code for basic batch ingestion code May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","Complete ingestion: Auto Loader, schema inference, checkpointing","Advanced: streaming, CDC, error handling, retry logic, monitoring","Intelligent ingestion: auto-optimized configs, self-healing, adaptive schemas",,,,Critical,,"""Create an Auto Loader pipeline for claims JSON files from S3 submitted via mobile app""","Ingestion notebooks, DLT pipelines, Auto Loader configs",,
3. Development,DEV-10,MCP Customization,How effectively has your team configured and customized Genie Code using Model Context Protocol (MCP) for your specific use cases?,MCP server setup | custom protocol implementation | authentication | context injection,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No MCP customization OR using generic AI tools (ChatGPT, GitHub Copilot) without Databricks-specific context; default Genie Code configuration only","Basic MCP server configuration; experimenting with custom context May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Production MCP servers with domain-specific tools and context,Enterprise MCP platform with 20+ production tools,AI-native MCP platform with 50+ autonomous tools,,,,Critical,,"""Configure MCP server with our insurance data dictionary and claims taxonomy""","MCP server configs, custom protocol implementations, authentication setup",,
3. Development,DEV-11,MCP Customization,To what extent has your organization developed custom MCP tools and integrations to extend Genie Code capabilities?,Custom MCP tools | function definitions | parameter validation | response formatting,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No custom tools OR using generic AI tools (ChatGPT, GitHub Copilot) without Databricks-specific context; using only built-in capabilities","One or two custom tools in development May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",5-10 custom tools integrated into workflows,Advanced tool orchestration and composition patterns,Self-composing tool chains that optimize for objectives,,,,Critical,,"""Create custom MCP tool to query our internal policy management system API""","Custom tool definitions, function signatures, integration documentation",,
3. Development,DEV-12,MCP Customization,"How effectively are multi-modal data sources (documents, images, APIs) integrated with Genie Code via MCP?",Document processing | image analysis | API orchestration | multi-modal workflows,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No multi-modal integration OR using generic AI tools (ChatGPT, GitHub Copilot) without Databricks-specific context; text queries only","Experimental document upload features May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Multi-modal workflows for documents and structured data,Sophisticated multi-modal AI workflows,Fully autonomous multi-modal AI with cross-domain reasoning,,,,High,,"""Integrate scanned claim documents and medical records processing into Genie Code via MCP""","Multi-modal workflows, document processing pipelines, API orchestrations",,
3. Development,DEV-2,Complex Transformations,"To what extent does your team leverage Genie Code for complex transformation logic (joins, windows, aggregations)?",Generate optimized SQL/PySpark | joins | windows | aggregations | complex CTEs,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,All transformation logic hand-coded; simple SELECT statements,"Genie Code generates simple joins and basic transformations May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","Complex queries: multiple joins, window functions, CTEs","Optimized PySpark: broadcast joins, partitioning, caching strategies","Intelligent transformation: auto-optimize query plans, adaptive execution",,,,High,,"""Create a transformation to calculate rolling 90-day claim frequency and severity by customer""","Transformation notebooks, query performance metrics, optimization logs",,
3. Development,DEV-3,Data Quality Checks,"How effectively is Genie Code used to implement data quality checks (Great Expectations, DLT expectations)?",Generate Great Expectations | DLT expectations | validation logic | quarantine patterns,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No automated DQ implementation (using manual processes or generic AI tools like ChatGPT, Copilot without Databricks context);  manual checks only","Using Genie Code for basic NOT NULL and UNIQUE constraints May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","Comprehensive expectations: range, format, referential integrity","Advanced: ML-based anomaly detection, adaptive thresholds, auto-quarantine","Intelligent DQ: auto-generate from data patterns, self-learning, auto-remediation",,,,Critical,,"""Add data quality expectations to detect fraudulent claims patterns in this DLT pipeline""","DQ expectations, validation notebooks, quality reports",,
3. Development,DEV-4,Reusable Functions,"How is Genie Code utilized to create reusable functions, UDFs, and shared utility libraries?",Create Python/Scala UDFs | shared libraries | utility functions | documentation,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,Copy-paste code; no function libraries,"Genie Code generates basic function templates May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Generate parameterized functions with documentation,"Create function libraries, unit tests, usage examples","Intelligent library: auto-detect reusable patterns, optimize performance",,,,Medium,,"""Create a reusable function to parse nested claim details JSON from adjuster notes""","Function libraries, utility notebooks, documentation, unit tests",,
3. Development,DEV-5,Query Optimization,How effectively does your team use Genie Code to optimize slow queries and improve pipeline performance?,Analyze query plans | suggest optimizations | rewrite queries | indexing strategies,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No query optimization OR using generic AI tools (ChatGPT, GitHub Copilot) without Databricks-specific context; reactive troubleshooting only","Using Genie Code for basic query optimization suggestions (add WHERE) May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","Identify joins to optimize, suggest partitioning, filter pushdown","Rewrite queries, suggest ZOrder, caching strategies, broadcast hints","Intelligent optimization: auto-tune configs, adaptive query execution",,,,High,,"""Optimize this slow join query between claims, policies, and claim payments tables""","Query execution metrics, optimization suggestions, performance benchmarks",,
3. Development,DEV-6,Incremental & CDC,How is Genie Code being used to implement incremental processing and Change Data Capture (CDC) patterns?,Generate incremental logic | MERGE statements | watermarking | late-arriving data handling,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness incremental logic; basic date filtering","Genie Code generates simple date-based incremental loads May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","Watermark-based incremental, basic MERGE statements","Complete CDC: captures, soft deletes, SCD Type 2, reconciliation","Intelligent CDC: predictive synchronization, conflict resolution, automatic reconciliation",,,,Critical,,"""Implement incremental load with MERGE for policy dimension with SCD Type 2 for premium changes""","Incremental load code, MERGE statements, watermark configs",,
3. Development,DEV-7,Real-Time Streaming,How effectively is Genie Code utilized for real-time streaming pipeline development and optimization?,Structured streaming | event-time processing | stateful operations | watermarking,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,Batch processing only; no streaming implementation,"Experimenting with basic structured streaming May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Structured streaming with event-time processing,"Advanced streaming: stateful operations, complex event processing",Autonomous streaming with self-tuning and predictive scaling,,,,High,,"""Create structured streaming pipeline for real-time fraud detection from incoming claims""","Streaming notebooks, event processing logic, state management",,
3. Development,DEV-8,Advanced PySpark,"How is Genie Code used to generate advanced PySpark code (broadcast joins, partitioning, caching)?",Generate broadcast joins | partitioning strategies | caching logic | Catalyst optimization,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,Basic PySpark; no optimization techniques,"Using Genie Code for simple DataFrame operations May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","Optimized PySpark: broadcast joins, partitioning strategies","Catalyst optimization, dynamic partition pruning, adaptive query execution",AI-driven PySpark optimization with automatic code refactoring,,,,High,,"""Optimize this PySpark job processing daily claims batch with broadcast joins on policy lookup""","Optimized PySpark code, performance comparisons, execution plans",,
3. Development,DEV-9,Error Handling,How effectively does your team use Genie Code to implement comprehensive error handling and retry logic?,Error handling patterns | retry logic | dead-letter queues | exception management,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,Basic try-catch; minimal error handling,"Basic exception catching with Genie Code assistance May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Comprehensive error handling with retry logic,Self-healing patterns with dead-letter queues,Predictive error prevention with ML-based anomaly detection,,,,High,,"""Add comprehensive error handling for claims processing pipeline with retry for payment failures""","Error handling patterns, retry logic, dead-letter queue implementations",,
4. Testing & Validation,TV-1,Unit Testing,How is Genie Code currently being used to generate unit tests for data transformations and pipelines?,Generate pytest tests | data frame assertions | mock data creation | test fixtures,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No automated tests (using manual processes or generic AI tools like ChatGPT, Copilot without Databricks context);  manual validation only","Using Genie Code to generate basic test skeletons May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Comprehensive unit tests with fixtures and mocks,"Advanced test patterns: property-based testing, mutation testing",AI-generated test scenarios based on production patterns,,,,High,,"""Generate unit tests for the claim amount calculation transformation function""","Test notebooks, pytest files, test coverage reports",,
4. Testing & Validation,TV-2,Integration Testing,To what extent does your team leverage Genie Code for integration testing across multiple pipeline components?,End-to-end test scenarios | cross-pipeline validation | dependency testing,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No integration testing OR using generic AI tools (ChatGPT, GitHub Copilot) without Databricks-specific context; component testing only","Basic end-to-end test scenarios with Genie Code May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",End-to-end integration tests across pipeline components,Chaos engineering and fault injection testing,Self-healing integration tests that adapt to schema changes,,,,High,,"""Create integration tests for the entire claims processing pipeline from intake to payment""","Integration test suites, end-to-end test documentation",,
4. Testing & Validation,TV-3,Performance Testing,How effectively is Genie Code used to create performance test scenarios and benchmarking queries?,Performance benchmarks | load testing queries | scalability tests | bottleneck identification,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No performance testing OR using generic AI tools (ChatGPT, GitHub Copilot) without Databricks-specific context; reactive to production issues","Simple performance benchmark queries May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Performance benchmarks with baseline comparisons,Load testing at scale with realistic data volumes,Autonomous performance optimization based on test results,,,,Medium,,"""Generate performance test for joining 100 million claims with policy and customer tables""","Performance test results, benchmark reports, scalability analysis",,
4. Testing & Validation,TV-4,Data Validation,How is Genie Code utilized to generate data validation rules and reconciliation queries?,Generate reconciliation queries | row count validation | data integrity checks,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness data validation; spot checks","Genie Code generates basic row count validations May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","Reconciliation queries, row count and sum validations",Schema evolution testing and backward compatibility,AI-driven data validation with automatic rule generation,,,,High,,"""Create reconciliation query to validate source claims count vs claims warehouse by status""","Reconciliation queries, validation reports, data integrity checks",,
4. Testing & Validation,TV-5,Regression Testing,How effectively does your team use Genie Code to create regression test suites for pipeline changes?,Regression test suites | baseline comparisons | change impact analysis,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No regression testing (using manual processes or generic AI tools like ChatGPT, Copilot without Databricks context);  manual revalidation","Basic regression test templates May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Automated regression test suites,Visual regression testing for data lineage,Predictive regression detection before deployment,,,,Medium,,"""Generate regression tests for claims processing pipeline after fraud detection rule updates""","Regression test suites, baseline comparisons, change logs",,
4. Testing & Validation,TV-6,Edge Case Testing,How is Genie Code being used to test edge cases and exception scenarios in data pipelines?,Edge case scenarios | null handling | boundary conditions | exception paths,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No edge case testing OR using generic AI tools (ChatGPT, GitHub Copilot) without Databricks-specific context; happy path only","Simple null/not-null edge case tests May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Comprehensive edge case coverage,Automated edge case discovery,Self-expanding edge case coverage,,,,Medium,,"""Create tests for null claim amounts, zero payments, and negative adjustment edge cases""","Edge case test documentation, exception handling tests",,
5. Deployment,DEP-1,CI/CD Pipelines,How is Genie Code currently being used to generate CI/CD pipeline configurations and deployment scripts?,Generate GitHub Actions | Azure DevOps pipelines | deployment scripts | rollback procedures,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness deployments; no CI/CD automation","Basic CI/CD pipeline templates with Genie Code May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Automated CI/CD with testing gates,"Blue-green deployments, canary releases, automated rollback",Autonomous deployments with AI-driven rollback decisions,,,,Critical,,"""Create GitHub Actions workflow to deploy this claims processing notebook to production""","CI/CD pipeline configs, deployment scripts, rollback procedures",,
5. Deployment,DEP-2,Job Orchestration,To what extent does your team leverage Genie Code for job orchestration and workflow scheduling?,Orchestration with Workflows | scheduling | dependency management | job parameters,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness job scheduling; basic cron jobs","Simple workflow configurations May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Comprehensive workflow orchestration with dependencies,"Complex orchestration: cross-workspace, multi-region",Self-optimizing orchestration based on SLA requirements,,,,High,,"""Set up Databricks Workflow to orchestrate claims ingestion, fraud detection, and payment pipelines""","Workflow definitions, orchestration DAGs, dependency graphs",,
5. Deployment,DEP-3,Environment Management,How effectively is Genie Code used to manage environment-specific configurations and promote across environments?,Environment configurations | secrets management | parameter substitution | promotion scripts,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness environment configurations; copy-paste configs","Basic parameter substitution patterns May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Environment-specific configs with automated promotion,Infrastructure as Code with automated environment provisioning,Zero-downtime deployments with automatic traffic shaping,,,,Medium,,"""Generate environment-specific configs for dev/qa/prod with different claims data sources""","Environment config files, parameter files, promotion documentation",,
6. Monitoring & Operations,MO-1,Pipeline Monitoring,How is Genie Code being used to create monitoring queries and pipeline health check dashboards?,Generate monitoring queries | health checks | dashboard SQL | alert conditions,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness log reviews; reactive monitoring","Basic monitoring queries for pipeline status May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Comprehensive monitoring dashboards and health checks,Predictive monitoring with ML-based anomaly detection,Autonomous monitoring with self-healing capabilities,,,,High,,"""Create monitoring dashboard for claims pipeline health showing processing lag and error rates""","Monitoring dashboards, health check queries, alert definitions",,
6. Monitoring & Operations,MO-2,Alert Configuration,To what extent does your team leverage Genie Code to configure alert queries and notification triggers?,Alert query generation | threshold configuration | notification logic | escalation patterns,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness alert checking; email notifications","Simple threshold alerts May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Intelligent alert queries with dynamic thresholds,Intelligent alerting with context-aware escalation,AI-driven incident prediction and prevention,,,,High,,"""Generate alert query for claims processing pipeline failures and fraud detection anomalies""","Alert configurations, notification logic, escalation policies",,
